Name,TimeSec,Lane,DurationSec,Velocity,Pitch
Note_00000,0.115625,1,0.185417,59,43
Note_00001,0.394792,2,0.139583,71,62
Note_00002,0.545833,1,0.139583,39,48
Note_00003,0.545833,1,0.151042,51,58
Note_00004,0.545833,2,0.151042,61,66
Note_00005,0.859375,1,0.173958,57,43
Note_00006,0.859375,2,0.151042,53,61
Note_00007,1.184375,1,0.290625,45,43
Note_00008,1.184375,1,0.162500,37,58
Note_00009,1.184375,2,0.162500,54,61
Note_00010,1.184375,2,0.139583,42,65
Note_00011,1.473958,1,0.347917,56,43
Note_00012,1.497917,2,0.417708,50,62
Note_00013,1.811458,1,0.198958,45,48
Note_00014,1.811458,1,0.198958,35,58
Note_00015,1.822917,1,0.256250,67,43
Note_00016,1.915625,2,0.326042,78,62
Note_00017,2.230208,1,0.162500,41,48
Note_00018,2.230208,1,0.151042,50,58
Note_00019,2.230208,2,0.151042,60,66
Note_00020,2.543750,1,0.325000,50,43
Note_00021,2.543750,2,0.209375,48,61
Note_00022,2.555208,1,0.266667,48,58
Note_00023,2.555208,2,0.139583,28,65
Note_00024,2.868750,1,0.417708,45,43
Note_00025,2.868750,1,0.243750,42,58
Note_00026,3.530208,1,0.162500,63,57
Note_00027,3.728125,1,0.291667,38,43
Note_00028,3.775000,2,0.151042,68,62
Note_00029,4.426042,2,0.139583,60,62
Note_00030,4.762500,1,0.232292,44,43
Note_00031,4.879167,2,0.209375,49,62
Note_00032,5.296875,2,0.151042,81,62
Note_00033,5.447917,2,0.139583,57,62
Note_00034,5.865625,2,0.129167,55,62
Note_00035,6.552083,1,0.173958,36,55
Note_00036,7.992708,2,0.243750,56,62
Note_00037,8.398958,2,0.591667,57,62
Note_00038,10.269792,2,0.173958,55,62
Note_00039,11.233333,1,0.220833,43,60
Note_00040,11.639583,1,0.151042,46,55
Note_00041,11.848958,0,0.140625,36,41
Note_00042,14.242708,1,0.185417,52,60
Note_00043,14.579167,1,0.220833,44,57
Note_00044,17.937500,2,0.151042,59,62
Note_00045,18.077083,1,0.139583,46,55
Note_00046,18.285417,1,0.232292,42,43
Note_00047,18.402083,2,0.209375,49,62
Note_00048,18.715625,1,0.139583,39,43
Note_00049,18.819792,2,0.139583,83,62
Note_00050,18.959375,2,0.255208,51,62
Note_00051,19.388542,2,0.139583,58,62
Note_00052,21.526042,2,0.209375,58,62
Note_00053,21.910417,2,0.591667,51,62
Note_00054,23.791667,2,0.175000,56,62
Note_00055,24.431250,1,0.139583,53,60
Note_00056,24.756250,1,0.243750,52,60
Note_00057,25.162500,1,0.162500,40,55
Note_00058,27.798958,1,0.163542,52,60
Note_00059,28.090625,1,0.220833,42,57
Note_00060,30.751042,1,0.290625,39,55
Note_00061,31.482292,2,0.139583,57,62
Note_00062,31.913542,1,0.162500,48,43
Note_00063,31.913542,2,0.406250,46,62
Note_00064,32.227083,1,0.196875,44,43
Note_00065,32.319792,2,0.313542,70,62
Note_00066,32.900000,2,0.151042,57,62
Note_00067,33.608333,1,0.163542,37,55
Note_00068,34.178125,2,0.151042,61,62
Note_00069,35.048958,2,0.196875,58,62
Note_00070,35.443750,2,0.569792,51,62
Note_00071,37.314583,2,0.173958,59,62
Note_00072,38.267708,1,0.220833,44,60
Note_00073,41.321875,1,0.185417,57,60
Note_00074,41.612500,1,0.244792,47,57
Note_00075,41.623958,0,0.163542,40,36
Note_00076,42.043750,1,0.151042,32,55
Note_00077,42.252083,0,0.173958,34,41
Note_00078,44.993750,2,0.139583,63,62
Note_00079,45.330208,1,0.232292,43,43
Note_00080,45.446875,1,0.151042,35,55
Note_00081,45.446875,2,0.220833,52,62
Note_00082,45.750000,1,0.151042,43,43
Note_00083,45.842708,2,0.302083,72,62
Note_00084,46.434375,2,0.139583,54,62
Note_00085,47.712500,2,0.139583,63,62
Note_00086,48.560417,2,0.209375,58,62
Note_00087,48.711458,1,0.196875,35,43
Note_00088,48.955208,2,0.604167,53,62
Note_00089,50.826042,2,0.196875,58,62
Note_00090,51.255208,1,0.162500,35,55
Note_00091,51.557292,1,0.152083,39,43
Note_00092,51.557292,1,0.140625,41,48
Note_00093,51.779167,1,0.209375,48,60
Note_00094,51.860417,1,0.162500,48,48
Note_00095,51.871875,1,0.162500,46,43
Note_00096,52.173958,1,0.139583,47,48
Note_00097,52.185417,1,0.162500,50,43
Note_00098,52.510417,1,0.185417,55,43
Note_00099,52.521875,1,0.220833,55,48
Note_00100,52.939583,1,0.139583,47,58
Note_00101,52.952083,1,0.243750,54,48
Note_00102,53.253125,1,0.196875,32,58
Note_00103,53.253125,2,0.185417,37,65
Note_00104,53.265625,2,0.151042,37,61
Note_00105,53.369792,1,0.209375,36,43
Note_00106,53.578125,1,0.152083,58,43
